Type,Priority,Version,GHRef,Message
Fixed,,0.7.4,634,"In assembler symbol tables, differentiate between user program and OS symbols"
Fixed,,0.7.4,638,Only show relevant changes in "What's New" startup dialog
Changed,,0.7.4,649,Update to Qt 6.8
Changed,,0.7.4,650,"In ""Welcome"" mode, split double-wide Mc2 into two labeled columns"
Added,Major,0.7.4,655,"Added Pep/9 projects for ISA3 and Asmb5"
Added,Minor,0.7.4,510,"Added step over/into/out for ISA and ASMB5"
Changed,Major,0.7.5,666,"Removed Pep/10 OS's loader and diskIn port"
Changed,Major,0.7.5,660,"Add stack trace to ""Debugger"" mode, containing views of globals, heap, and stack"
Changed,,0.7.5,667,"Redesign application preferences & styling"
Changed,,0.7.5,691,"In ""Debugger"" mode, add labels to stack trace"
Fixed,,0.7.5,710,"Fix copy/paste in assembly editor"
Fixed,,0.7.5,596,"Re-added ability to save ISA3/ASMB3/ASMB5 projects to the filesystem"
Changed,,0.7.5,,"Re-added descriptions to figures in the help system"
Fixed,,0.7.5,702,"Fix off-by-1 when stopping for breakpoints"
Fixed,,0.7.6,604,"Increase width of CPU pane in web version"
Fixed,,0.7.6,,"Prevent text overflow in Batch IO pane"
Changed,,0.7.6,,"Hide unimplemented menus & panes"
Changed,,0.7.6,,"Hide tab bar in ""Welcome"" mode"
Fixed,,0.7.6,,"Improve clickability of ""Welcome"" project cards"
Fixed,,0.7.6,605,"Improve spacing of menus in web version"
Fixed,,0.7.6,722,"Tighten layout of CPU register view"
Fixed,,0.7.6,725,"Remove leading ""0""'s from figure names"
Changed,,0.7.6,,"Temporarily disable Pep/10 projects"
Fixed,,0.7.6,723,"Prevent disappearing text in memory dump"
Fixed,,0.7.7,735,"Prevent batch output from disappearing at small resolutions"
Fixed,,0.7.7,737,"Fix incorrect help system filter on first use"
Fixed,,0.7.7,740,"Standardize width of help system's rows"
Fixed,,0.7.7,741,"Expand help system items on click"
Changed,,0.7.7,742,"Make Pep/10 default architecture"
Changed,,0.7.7,739,"Add base tooltip to byte converters"
Changed,,0.8.0,750,"Add data type selection to CPU register view"
Fixed,,0.8.0,744,"Prevent panning beyond bounds of CPU register view"
Fixed,,0.8.0,745,"Prevent panning beyond bounds of Help system"
Changed,Major,0.8.0,759,"Replace Pep/10 instruction ""SWAPSPA"" with ""MOVASP"""
Fixed,,0.8.0,,"Prevent application icon from becoming all-black on Mac OS"
Changed,,0.8.1,764,"Deploy both Intel and Apple Silicon builds for Mac OS"
Added,,0.8.2,767, "Add icons to mode selection buttons"
Fixed,,0.8.2,766,"Add new entitlements to Mac OS application bundle"
Changed,Major,0.8.3,765,"Reduce complexity of initial project creation"
Changed,Major,0.8.3,,"Capitalize name in Mac OS application bundle"
Changed,,0.8.3,,"In help system, freely allow users to change abstraction and architecture filters"
Added,,0.8.3,771,"Add macro browser to Pep/10 help documentation"
Fixed,,0.8.3,773,"Prevent editing of read-only figures in help system"
Changed,,0.8.3,774,"Add ""Assemble"" button to toolbar"
Changed,,0.8.3,776,"Make symbol table viewer resizable"
Fixed,,0.8.3,776,"More tightly group symbol:value pairs in symbol table viewer"
Added,,0.8.3,777,"Add ability to copy symbol table as formatted text"
Fixed,,0.8.3,780,"Allow copy/cut/paste across all controls, not just the assembly editor"
Fixed,,0.8.3,781,"Disable cut/paste for read-only controls"
Fixed,,0.8.3,,"Increase contrast between text and background for disabled controls"
Fixed,,0.8.3,,"Prevent most theme items from defaulting to monospaced fonts"
Changed,,0.8.3,782,"Change default monospace font to GitHub's ""Monaspace Xenon"" font"
Added,,0.8.3,782,"Distinguish macro expansions from user code via different fonts"
Fixed,,0.8.4,785,"Improve spacing within listing's macro expansions"
Changed,Major,0.8.4,,"Re-order Pep/10 opcodes to group together AAA-type ops"
Changed,Major,0.8.5,788,"Convert chapter 7 figures from Java to Python for the 6th edition"
Fixed,,0.8.5,,"Allow copying themes other than ""Dark"""
